book_id,title,author,description,language,genres,setting,pages,publisher,publishedYear,rating,numRatings
36,It's Kind of a Funny Story,"Vizzini, Ned","Ambitious New York City teenager Craig Gilner is determined to succeed at life - which means getting into the right high school to get into the right job. But once Craig aces his way into Manhattan's Executive Pre-Professional High School, the pressure becomes unbearable. He stops eating and sleeping until, one night, he nearly kills himself.Craig's suicidal episode gets him checked into a mental hospital, where his new neighbors include a transsexual sex addict, a girl who has scarred her own face with scissors, and the self-elected President Armelio. There, Craig is finally able to confront the sources of his anxiety.Ned Vizzini, who himself spent time in a psychiatric hospital, has created a remarkably moving tale about the sometimes unexpected road to happiness.",English,"Young Adult, Fiction, Contemporary, Mental Health, Mental Illness, Realistic Fiction, Romance, Psychology, Coming Of Age, Teen","New York City, New York (United States)",444,Disney-Hyperion,2007,4.11,210996
37,The Angel Experiment,"Patterson, James","Six unforgettable kids ""with no families, no homes"" are running for their lives. Max Ride and her best friends have the ability to fly. And that's just the beginning of their amazing powers. But they don't know where they come from, who's hunting them, why they are different from all other humans... and if they're meant to save mankind - or destroy it.",English,"Young Adult, Fantasy, Science Fiction, Fiction, Adventure, Paranormal, Teen, Action, Mystery, Urban Fantasy","Denver, Colorado (United States), California (United States), New York State (United States)",445,Grand Central Publishing,2006,4.07,205771
38,Unearthly,"Hand, Cynthia","In the beginning, there's a boy standing in the trees...Clara Gardner has recently learned that she's part angel. Having angel blood run through her veins not only makes her smarter, stronger, and faster than humans (a word, she realizes, that no longer applies to her), but it means she has a purpose, something she was put on this earth to do. Figuring out what that is, though, isn't easy.Her visions of a raging forest fire and an alluring stranger lead her to a new school in a new town. When she meets Christian, who turns out to be the boy of her dreams (literally), everything seems to fall into place and out of place at the same time. Because there's another guy, Tucker, who appeals to Clara's less angelic side.As Clara tries to find her way in a world she no longer understands, she encounters unseen dangers and choices she never thought she'd have to make between honesty and deceit, love and duty, good and evil. When the fire from her vision finally ignites, will Clara be ready to face her destiny?Unearthly is a moving tale of love and fate, and the struggle between following the rules and following your heart.",English,"Young Adult, Fantasy, Angels, Paranormal, Romance, Paranormal Romance, Supernatural, Urban Fantasy, Fiction, Young Adult Fantasy","Mountain View, California (United States), Jackson Hole, Wyoming (United States)",435,HarperTeen,2011,4.02,121427
39,Under the Never Sky,"Rossi, Veronica","Aria has lived her whole life in the protected dome of Reverie. Her entire world confined to its spaces, she's never thought to dream of what lies beyond its doors. So when her mother goes missing, Aria knows her chances of surviving in the outer wasteland long enough to find her are slim.Then Aria meets an outsider named Perry. He's searching for someone too. He's also wild - a savage - but might be her best hope at staying alive.If they can survive, they are each other's best hope for finding answers.",English,"Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Post Apocalyptic, Adventure, Paranormal, Teen",Reverie,374,Atom,2012,3.99,108446
40,Shadow and Bone,"Bardugo, Leigh","Surrounded by enemies, the once-great nation of Ravka has been torn in two by the Shadow Fold, a swath of near impenetrable darkness crawling with monsters who feast on human flesh. Now its fate may rest on the shoulders of one lonely refugee.Alina Starkov has never been good at anything. But when her regiment is attacked on the Fold and her best friend is brutally injured, Alina reveals a dormant power that saves his life-a power that could be the key to setting her war-ravaged country free. Wrenched from everything she knows, Alina is whisked away to the royal court to be trained as a member of the Grisha, the magical elite led by the mysterious Darkling.Yet nothing in this lavish world is what it seems. With darkness looming and an entire kingdom depending on her untamed power, Alina will have to confront the secrets of the Grisha . . . and the secrets of her heart.",English,"Fantasy, Young Adult, Romance, Magic, Fiction, Young Adult Fantasy, High Fantasy, Paranormal, Adventure, Audiobook",Ravka ,358,Henry Holt and Company,2012,4,306949
41,My Life Next Door,"Fitzpatrick, Huntley","""One thing my mother never knew, and would disapprove of most of all, was that I watched the Garretts. All the time."" The Garretts are everything the Reeds are not. Loud, messy, affectionate. And every day from her rooftop perch, Samantha Reed wishes she was one of them . . . until one summer evening, Jase Garrett climbs up next to her and changes everything.As the two fall fiercely for each other, stumbling through the awkwardness and awesomeness of first love, Jase's family embraces Samantha - even as she keeps him a secret from her own. Then something unthinkable happens, and the bottom drops out of Samantha's world. She's suddenly faced with an impossible decision. Which perfect family will save her? Or is it time she saved herself?A transporting debut about family, friendship, first romance, and how to be true to one person you love without betraying another.",English,"Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Young Adult Contemporary, Contemporary Romance, Young Adult Romance, High School",Connecticut (United States),394,Dial Books For Young Readers,2012,3.99,133812
42,The Raven Boys,"Stiefvater, Maggie","""There are only two reasons a non-seer would see a spirit on St. Mark's Eve"", Neeve said. ""Either you're his true love . . . or you killed him. It is freezing in the churchyard, even before the dead arrive.Every year, Blue Sargent stands next to her clairvoyant mother as the soon-to-be dead walk past. Blue herself never sees them-not until this year, when a boy emerges from the dark and speaks directly to her.His name is Gansey, and Blue soon discovers that he is a rich student at Aglionby, the local private school. Blue has a policy of staying away from Aglionby boys. Known as Raven Boys, they can only mean trouble.But Blue is drawn to Gansey, in a way she can't entirely explain. He has it all ""family money, good looks, devoted friends"" but he's looking for much more than that. He is on a quest that has encompassed three other Raven Boys: Adam, the scholarship student who resents all the privilege around him; Ronan, the fierce soul who ranges from anger to despair; and Noah, the taciturn watcher of the four, who notices many things but says very little.For as long as she can remember, Blue has been warned that she will cause her true love to die. She never thought this would be a problem. But now, as her life becomes caught up in the strange and sinister world of the Raven Boys, she's not so sure anymore.From Maggie Stiefvater, the bestselling and acclaimed author of the Shiver trilogy and The Scorpio Races, comes a spellbinding new series where the inevitability of death and the nature of love lead us to a place we've never been before.",English,"Fantasy, Young Adult, Paranormal, Romance, Fiction, Magic, Urban Fantasy, Audiobook, Supernatural, Young Adult Fantasy","Henrietta, Virginia (United States)",409,Scholastic Press,2012,4.05,269946
43,Red Queen,"Aveyard, Victoria","This is a world divided by blood - red or silver. The Reds are commoners, ruled by a Silver elite in possession of god-like superpowers. And to Mare Barrow, a seventeen-year-old Red girl from the poverty-stricken Stilts, it seems like nothing will ever change. That is until she finds herself working in the Silver Palace. Here, surrounded by the people she hates the most, Mare discovers that, despite her red blood, she possesses a deadly power of her own. One that threatens to destroy the balance of power. Fearful of Mare's potential, the Silvers hide her in plain view, declaring her a long-lost Silver princess, now engaged to a Silver prince. Despite knowing that one misstep would mean her death, Mare works silently to help the Red Guard, a militant resistance group, and bring down the Silver regime. But this is a world of betrayal and lies, and Mare has entered a dangerous dance-Reds against Silvers, prince against prince, and Mare against her own heart.",English,"Fantasy, Young Adult, Dystopia, Romance, Fiction, Young Adult Fantasy, Magic, Science Fiction, Audiobook, Paranormal",,383,HarperTeen,2015,4.04,565018
44,I'll Give You the Sun,"Nelson, Jandy","""We were all heading for each other on a collision course, no matter what. Maybe some people are just meant to be in the same story."" At first, Jude and her twin brother Noah, are inseparable. Noah draws constantly and is falling in love with the charismatic boy next door, while daredevil Jude wears red-red lipstick, cliff-dives, and does all the talking for both of them. Years later, they are barely speaking. Something has happened to change the twins in different yet equally devastating ways . . . but then Jude meets an intriguing, irresistible boy and a mysterious new mentor. The early years are Noah's to tell; the later years are Jude's. But they each have only half the story, and if they can only find their way back to one another, they'll have a chance to remake their world. This radiant, award-winning novel from the acclaimed author of The Sky Is Everywhere will leave you breathless and teary and laughing-often all at once.Printz Award Winner Stonewall Honor Book.",English,"Young Adult, Contemporary, LGBT, Romance, Fiction, Realistic Fiction, Queer, Coming Of Age, Young Adult Contemporary, Family",California (United States),371,Dial Books,2014,4.14,254493
45,Crank,"Hopkins, Ellen","In Crank, Ellen Hopkins chronicles the turbulent and often disturbing relationship between Kristina, a character based on her own daughter, and the ""monster,"" the highly addictive drug crystal meth, or ""crank."" Kristina is introduced to the drug while visiting her largely absent and ne'er-do-well father. While under the influence of the monster, Kristina discovers her sexy alter-ego, Bree: ""there is no perfect daughter, / no gifted high school junior, / no Kristina Georgia Snow. / There is only Bree."" Bree will do all the things good girl Kristina won't, including attracting the attention of dangerous boys who can provide her with a steady flow of crank.",English,"Young Adult, Poetry, Fiction, Contemporary, Realistic Fiction, Teen, Mental Health, Romance, High School, Abuse","United States of America, Albuquerque, New Mexico (United States), Reno, Nevada (United States)",537,Margaret K. McElderry Books,2004,4.15,125539
46,Half-Blood,"Armentrout, Jennifer L.","The Hematoi descend from the unions of gods and mortals, and the children of two Hematoi pure bloods have godlike powers. Children of Hematoi and mortals--well, not so much. Half-bloods only have two options: become trained Sentinels who hunt and kill daimons or become servants in the homes of the pures.Seventeen-year-old Alexandria would rather risk her life fighting than waste it scrubbing toilets, but she may end up slumming it anyway. There are several rules that students at the Covenant must follow. Alex has problems with them all, but especially rule #1:Relationships between pures and halfs are forbidden. Unfortunately, she's crushing hard on the totally hot pure-blood Aiden. But falling for Aiden isn't her biggest problem--staying alive long enough to graduate the Covenant and become a Sentinel is.If she fails in her duty, she faces a future worse than death or slavery: being turned into a daimon, and being hunted by Aiden. And that would kind of suck.",English,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Paranormal Romance, Urban Fantasy, Supernatural, Greek Mythology, Magic",,281,Spencer Hill Press,2011,4.13,81206
47,Sweet Evil,"Higgins, Wendy","Embrace the ForbiddenWhat if there were teens whose lives literally depended on being bad influences?This is the reality for sons and daughters of fallen angels.Tenderhearted Southern girl Anna Whitt was born with the sixth sense to see and feel emotions of other people. She's aware of a struggle within herself, an inexplicable pull toward danger, but it isn't until she turns sixteen and meets the alluring Kaidan Rowe that she discovers her terrifying heritage and her willpower is put to the test. He's the boy your daddy warned you about. If only someone had warned Anna.Forced to face her destiny, will Anna embrace her halo or her horns?",English,"Young Adult, Paranormal, Fantasy, Romance, Angels, Demons, Paranormal Romance, Supernatural, Urban Fantasy, Fiction","Georgia (United States), Alabama (United States), New Mexico (United States), California (United States)",447,HarperTeen,2012,4.09,71729
48,Nightshade,"Cremer, Andrea","Calla Tor has always known her destiny: After graduating from the Mountain School, she'll be the mate of sexy alpha wolf Ren Laroche and fight with him, side by side, ruling their pack and guarding sacred sites for the Keepers. But when she violates her masters' laws by saving a beautiful human boy out for a hike, Calla begins to question her fate, her existence, and the very essence of the world she has known. By following her heart, she might lose everything- including her own life. Is forbidden love worth the ultimate sacrifice?""A finely-wrought compelling tale of romance and treachery...""-Cynthia Leitich Smith(New York Times bestselling author of Eternal and Tantalize)",English,"Young Adult, Fantasy, Paranormal, Werewolves, Romance, Paranormal Romance, Supernatural, Urban Fantasy, Magic, Fiction","Vail, Colorado (United States)",452,Philomel,2010,4.02,79572
49,Just One Day,"Forman, Gayle","A breathtaking journey toward self-discovery and true love, from the author of If I Stay.When sheltered American good girl Allyson ""LuLu"" Healey first meets laid-back Dutch actor Willem De Ruiter at an underground performance of Twelfth Night in England, there's an undeniable spark. After just one day together, that spark bursts into a flame, or so it seems to Allyson, until the following morning, when she wakes up after a whirlwind day in Paris to discover that Willem has left. Over the next year, Allyson embarks on a journey to come to terms with the narrow confines of her life, and through Shakespeare, travel, and a quest for her almost-true-love, to break free of those confines.",English,"Young Adult, Romance, Contemporary, Fiction, New Adult, Realistic Fiction, Travel, Chick Lit, Young Adult Contemporary, Teen","Paris (France), Amsterdam (Netherlands), Utrecht (Netherlands), United States of America, London, England",369,Speak,2013,4,77995
50,Die for Me,"Plum, Amy","In the City of Lights, two star-crossed lovers battle a fate that is destined to tear them apart again and again for eternity.When Kate Mercier's parents die in a tragic car accident, she leaves her life--and memories--behind to live with her grandparents in Paris. For Kate, the only way to survive her pain is escaping into the world of books and Parisian art. Until she meets Vincent.Mysterious, charming, and devastatingly handsome, Vincent threatens to melt the ice around Kate's guarded heart with just his smile. As she begins to fall in love with Vincent, Kate discovers that he's a revenant--an undead being whose fate forces him to sacrifice himself over and over again to save the lives of others. Vincent and those like him are bound in a centuries-old war against a group of evil revenants who exist only to murder and betray. Kate soon realizes that if she follows her heart, she may never be safe again.",English,"Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Zombies, Supernatural, Urban Fantasy, Fiction, Young Adult Paranormal",Paris (France),341,HarperTeen,2011,3.98,53039
51,Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire","A lyrical novel about family and friendship from critically acclaimed author Benjamin Alire Saenz. Aristotle is an angry teen with a brother in prison. Dante is a know-it-all who has an unusual way of looking at the world. When the two meet at the swimming pool, they seem to have nothing in common. But as the loners start spending time together, they discover that they share a special friendship--the kind that changes lives and lasts a lifetime. And it is through this friendship that Ari and Dante will learn the most important truths about themselves and the kind of people they want to be.",English,"Young Adult, LGBT, Contemporary, Romance, Fiction, Audiobook, Realistic Fiction, Queer, Coming Of Age, Young Adult Contemporary","El Paso, Texas (United States), Texas (United States)",359,Simon & Schuster Books for Young Readers,2012,4.33,259916
52,The Immortal Rules,"Kagawa, Julie","To survive in a ruined world, she must embrace the darkness. Allison Sekemoto survives in the Fringe, the outermost circle of a walled-in city. By day, she and her crew scavenge for food. By night, any one of them could be eaten. Some days, all that drives Allie is her hatred of them-the vampires who keep humans as blood cattle. Until the night Allie herself dies and becomes one of the monsters.Forced to flee her city, Allie must pass for human as she joins a ragged group of pilgrims seeking a legend-a place that might have a cure for the disease that killed off most of civilization and created the rabids, the bloodthirsty creatures who threaten human and vampire alike. And soon Allie will have to decide what and who is worth dying for  again.Enter Julie Kagawa's dark and twisted world as an unforgettable journey begins.",English,"Vampires, Young Adult, Fantasy, Paranormal, Dystopia, Romance, Urban Fantasy, Post Apocalyptic, Supernatural, Fiction",,485,Harlequin Teen,2012,4.08,65414
53,Starcrossed,"Angelini, Josephine","How do you defy DESTINY?Helen Hamilton has spent her entire sixteen years trying to hide how different she is - no easy task on an island as small and sheltered as Nantucket. And it's getting harder. Nightmares of a desperate desert journey have Helen waking parched, only to find her sheets damaged by dirt and dust. At school she's haunted by hallucinations of three women weeping tears of blood... and when Helen first crosses paths with Lucas Delos, she has no way of knowing they're destined to play the leading roles in a tragedy the Fates insist on repeating throughout history.As Helen unlocks the secrets of her ancestry, she realizes that some myths are more than just legend. But even demigod powers might not be enough to defy the forces that are both drawing her and Lucas together - and trying to tear them apart.",English,"Fantasy, Young Adult, Mythology, Romance, Paranormal, Greek Mythology, Paranormal Romance, Supernatural, Urban Fantasy, Fiction","Nantucket, Massachusetts (United States)",487,HarperTeen,2011,4.05,64250
54,Code Name Verity,"Wein, Elizabeth","Oct. 11th, 1943 - A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested by the Gestapo, she's sure she doesn't stand a chance. As a secret agent captured in enemy territory, she's living a spy's worst nightmare. Her Nazi interrogators give her a simple choice: reveal her mission or face a grisly execution. As she intricately weaves her confession, Verity uncovers her past, how she became friends with the pilot Maddie, and why she left Maddie in the wrecked fuselage of their plane. On each new scrap of paper, Verity battles for her life, confronting her views on courage and failure and her desperate hope to make it home. But will trading her secrets be enough to save her from the enemy? Harrowing and beautifully written, Elizabeth Wein creates a visceral read of danger, resolve, and survival that shows just how far true friends will go to save each other. Code Name Verity is an outstanding novel that will stick with you long after the last page.",English,"Historical Fiction, Young Adult, Fiction, Historical, War, World War II, Audiobook, Teen, Mystery, Adventure","England, Ormaie, France",452,Egmont Press,2012,4.03,96652
55,Seraphina,"Hartman, Rachel","In her New York Times bestselling and Morris Award-winning debut, Rachel Hartman introduces mathematical dragons in an alternative-medieval world to fantasy and science-fiction readers of all ages. Four decades of peace have done little to ease the mistrust between humans and dragons in the kingdom of Goredd. Folding themselves into human shape, dragons attend court as ambassadors, and lend their rational, mathematical minds to universities as scholars and teachers. As the treaty's anniversary draws near, however, tensions are high.Seraphina Dombegh has reason to fear both sides. An unusually gifted musician, she joins the court just as a member of the royal family is murdered-in suspiciously draconian fashion. Seraphina is drawn into the investigation, partnering with the captain of the Queen's Guard, the dangerously perceptive Prince Lucian Kiggs. While they begin to uncover hints of a sinister plot to destroy the peace, Seraphina struggles to protect her own secret, the secret behind her musical gift, one so terrible that its discovery could mean her very life.",English,"Fantasy, Young Adult, Dragons, Romance, Fiction, Young Adult Fantasy, High Fantasy, Adventure, Mystery, Magic",,499,Random House Books for Young Readers,2013,3.94,79798
56,Impulse,"Hopkins, Ellen","Sometimes you don't wake up. But if you happen to, you know things will never be the same.Three lives, three different paths to the same destination: Aspen Springs, a psychiatric hospital for those who have attempted the ultimate act-suicide.Vanessa is beautiful and smart, but her secrets keep her answering the call of the blade.Tony, after suffering a painful childhood, can only find peace through pills.And Conner, outwardly, has the perfect life. But dig a little deeper and find a boy who is in constant battle with his parents, his life, himself.In one instant each of these young people decided enough was enough. They grabbed the blade, the bottle, the gun-and tried to end it all. Now they have a second chance, and just maybe, with each other's help, they can find their way to a better life-but only if they're strong and can fight the demons that brought them here in the first place.",English,"Young Adult, Poetry, Fiction, Contemporary, Mental Health, Realistic Fiction, Mental Illness, Teen, Romance, Abuse","United States of America, Arizona (United States)",666,Margaret K. McElderry Books,2007,4.27,69645
57,Of Poseidon,"Banks, Anna","Galen is the prince of the Syrena, sent to land to find a girl he's heard can communicate with fish. Emma is on vacation at the beach. When she runs into Galen-literally, ouch!-both teens sense a connection. But it will take several encounters, including a deadly one with a shark, for Galen to be convinced of Emma's gifts. Now, if he can only convince Emma that she holds the key to his kingdom...Told from both Emma and Galen's points of view, here is a fish-out-of-water story that sparkles with intrigue, humor, and waves of romance.",English,"Fantasy, Young Adult, Romance, Mermaids, Paranormal, Mythology, Paranormal Romance, Fiction, Supernatural, Young Adult Fantasy",New Jersey (United States),324,Feiwel & Friends,2012,4.02,46401
58,On the Jellicoe Road,"Marchetta, Melina","I'm dreaming of the boy in the tree. I tell him stories. About the Jellicoe School and the Townies and the Cadets from a school in Sydney. I tell him about the war between us for territory. And I tell him about Hannah, who lives in the unfinished house by the river. Hannah, who is too young to be hiding away from the world. Hannah, who found me on the Jellicoe Road six years ago.Taylor is leader of the boarders at the Jellicoe School. She has to keep the upper hand in the territory wars and deal with Jonah Griggs-the enigmatic leader of the cadets, and someone she thought she would never see again.And now Hannah, the person Taylor had come to rely on, has disappeared. Taylor's only clue is a manuscript about five kids who lived in Jellicoe eighteen years ago. She needs to find out more, but this means confronting her own story, making sense of her strange, recurring dream, and finding her mother-who abandoned her on the Jellicoe Road.The moving, joyous and brilliantly compelling new novel from the best-selling, multi-award-winning author of Looking for Alibrandi and Saving Francesca.",English,"Young Adult, Contemporary, Fiction, Mystery, Romance, Realistic Fiction, Australia, Coming Of Age, Teen, Young Adult Contemporary","New South Wales (Australia), Australia",290,Penguin Australia,2006,4.13,47200
59,Harry Potter and the Sorcerer's Stone,"Rowling, J.K.","Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.",English,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Adventure, Classics, Audiobook, Science Fiction Fantasy","London, England, Hogwarts School of Witchcraft and Wizardry (United Kingdom), Hogwarts School of Witchcraft and Wizardry (United Kingdom)",309,Scholastic Inc,2003,4.47,7048471
60,Alice in Zombieland,"Showalter, Gena","She won't rest until she's sent every walking corpse back to its grave. Forever.If anyone had told Alice Bell that her entire life would change course between one heartbeat and the next, she would have laughed. From blissful to tragic, innocent to ruined? Please. But that's all it took. One heartbeat. A blink, a breath, a second, and everything she knew and loved was gone.Her father was right. The monsters are real.To avenge her family, Ali must learn to fight the undead. To survive, she must learn to trust the baddest of the bad boys, Cole Holland. But Cole has secrets of his own, and if Ali isn't careful, those secrets might just prove to be more dangerous than the zombies.",English,"Young Adult, Zombies, Fantasy, Paranormal, Romance, Horror, Retellings, Urban Fantasy, Fiction, Supernatural",,404,Harlequin Teen,2012,4.04,39365
61,The Winner's Curse,"Rutkoski, Marie","Winning what you want may cost you everything you love...�As a general's daughter in a vast empire that revels in war and enslaves those it conquers, seventeen-year-old Kestrel has two choices: she can join the military or get married. But Kestrel has other intentions. One day, she is startled to find a kindred spirit in a young slave up for auction. Arin's eyes seem to defy everything and everyone. Following her instinct, Kestrel buys him-with unexpected consequences. It's not long before she has to hide her growing love for Arin. But he, too, has a secret, and Kestrel quickly learns that the price she paid for a fellow human is much higher than she ever could have imagined. Set in a richly imagined new world, The Winner's Curse by Marie Rutkoski is a story of deadly games where everything is at stake, and the gamble is whether you will keep your head or lose your heart.",English,"Fantasy, Young Adult, Romance, Dystopia, Young Adult Fantasy, Fiction, High Fantasy, Historical Fiction, Historical, War",,355,Farrar Straus Giroux,2014,3.97,95030
62,Thirteen Reasons Why,"Asher, Jay","You can't stop the future. You can't rewind the past. The only way to learn the secret . . . is to press play. Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker, his classmate and crush, who committed suicide two weeks earlier. Hannah's voice tells him that there are thirteen reasons why she decided to end her life. Clay is one of them. If he listens, he'll find out why. Clay spends the night crisscrossing his town with Hannah as his guide. He becomes a firsthand witness to Hannah's pain, and as he follows Hannah's recorded words throughout his town, what he discovers changes his life forever.",English,"Young Adult, Contemporary, Fiction, Realistic Fiction, Teen, High School, Drama, Mental Health, Death, Young Adult Contemporary",,352,Razorbill,2007,3.89,
63,Delirium,"Oliver, Lauren","In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake.But with ninety-five days left until her treatment, Lena meets enigmatic Alex, a boy from the ""Wilds"" who lives under the government's radar. What will happen if they do the unthinkable and fall in love?",English,"Young Adult, Dystopia, Romance, Science Fiction, Fantasy, Fiction, Teen, Audiobook, Love, Post Apocalyptic","Portland, Maine (United States)",441,HarperCollins,2012,3.97,416677
64,The Selection,"Cass, Kiera","For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.But for America Singer, being Selected is a nightmare. It means turning her back on her secret love with Aspen, who is a caste below her. Leaving her home to enter a fierce competition for a crown she doesn't want. Living in a palace that is constantly threatened by violent rebel attacks.Then America meets Prince Maxon. Gradually, she starts to question all the plans she's made for herself-and realizes that the life she's always dreamed of may not compare to a future she never imagined.",English,"Young Adult, Romance, Dystopia, Fantasy, Fiction, Science Fiction, Audiobook, Teen, Chick Lit, Young Adult Fantasy",,336,HarperTeen,2012,4.13,892728
65,Shatter Me,"Mafi, Tahereh","I have a curse. I have a gift. I am a monster. I'm more than human. My touch is lethal. My touch is power I am their weapon. I will fight back. Juliette hasn't touched anyone in exactly 264 days.The last time she did, it was an accident, but The Reestablishment locked her up for murder. No one knows why Juliette's touch is fatal. As long as she doesn't hurt anyone else, no one really cares. The world is too busy crumbling to pieces to pay attention to a 17-year-old girl. Diseases are destroying the population, food is hard to find, birds don't fly anymore, and the clouds are the wrong color.The Reestablishment said their way was the only way to fix things, so they threw Juliette in a cell. Now so many people are dead that the survivors are whispering war - and The Reestablishment has changed its mind. Maybe Juliette is more than a tortured soul stuffed into a poisonous body. Maybe she's exactly what they need right now.Juliette has to make a choice: Be a weapon. Or be a warrior.",English,"Young Adult, Dystopia, Fantasy, Romance, Science Fiction, Paranormal, Fiction, Supernatural, Post Apocalyptic, Audiobook",,338,Harper,2011,3.95,290772
66,Perfect Chemistry,"Elkeles, Simone","A fresh, urban twist on the classic tale of star-crossed lovers.When Brittany Ellis walks into chemistry class on the first day of senior year, she has no clue that her carefully created 'perfect' life is about to unravel before her eyes. She's forced to be lab partners with Alex Fuentes, a gang member from the other side of town, and he is about to threaten everything she's worked so hard for: her flawless reputation, her relationship with her boyfriend, and the secret that her home life is anything but perfect. Alex is a bad boy and he knows it. So when he makes a bet with his friends to lure Brittany into his life, he thinks nothing of it. But soon Alex realizes Brittany is a real person with real problems, and suddenly the bet he made in arrogance turns into something much more.In a passionate story about looking beneath the surface, Simone Elkeles breaks through the stereotypes and barriers that threaten to keep Brittany and Alex apart.",English,"Romance, Young Adult, Contemporary, Contemporary Romance, High School, Fiction, New Adult, Realistic Fiction, Chick Lit, Young Adult Romance","Chicago, Illinois (United States)",368,Walker Childrens,2008,4.06,239522
67,The Unbecoming of Mara Dyer,"Hodkin, Michelle","Mara Dyer believes life can't get any stranger than waking up in a hospital with no memory of how she got there. It can. She believes there must be more to the accident she can't remember that killed her friends and left her strangely unharmed. There is. She doesn't believe that after everything she's been through, she can fall in love. She's wrong.",English,"Young Adult, Paranormal, Fantasy, Romance, Mystery, Fiction, Supernatural, Horror, Contemporary, Paranormal Romance","Miami, Florida (United States)",456,Simon & Schuster Books for Young Readers,2011,4.05,152703
68,Angelfall,"Ee, Susan","It's been six weeks since angels of the apocalypse descended to demolish the modern world. Street gangs rule the day while fear and superstition rule the night. When warrior angels fly away with a helpless little girl, her seventeen-year-old sister Penryn will do anything to get her back.Anything, including making a deal with an enemy angel.Raffe is a warrior who lies broken and wingless on the street. After eons of fighting his own battles, he finds himself being rescued from a desperate situation by a half-starved teenage girl.Traveling through a dark and twisted Northern California, they have only each other to rely on for survival. Together, they journey toward the angels' stronghold in San Francisco where she'll risk everything to rescue her sister and he'll put himself at the mercy of his greatest enemies for the chance to be made whole again.",English,"Fantasy, Young Adult, Angels, Paranormal, Dystopia, Romance, Urban Fantasy, Post Apocalyptic, Fiction, Supernatural","San Francisco, California (United States)",288,Skyscape,2012,4.13,164638
69,The 5th Wave,"Yancey, Rick","After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive, Cassie believes, until she meets Evan Walker. Beguiling and mysterious, Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair, between defiance and surrender, between life and death. To give up or to get up.",English,"Young Adult, Science Fiction, Dystopia, Fiction, Aliens, Fantasy, Post Apocalyptic, Romance, Audiobook, Apocalyptic",Ohio (United States),457,G.P. Putnam's Sons Books for Young Readers,2013,4.04,388363
70,The Subtle Knife,"Pullman, Philip","The second instalment in Philip Pullman's His Dark Materials trilogy, join Lyra as her terrifying journey continues.-----She had asked: What is he? A friend or an enemy?The alethiometer answered: He is a murderer.When she saw the answer, she relaxed at once.Lyra finds herself in a shimmering, haunted otherworld - Cittagazze, where soul-eating Spectres stalk the streets and wingbeats of distant angels sound against the sky.But she is not without allies: twelve-year-old Will Parry, fleeing for his life after taking another's, has also stumbled into this strange new realm.On a perilous journey from world to world, Lyra and Will uncover a deadly secret: an object of extraordinary and devastating power.And with every step, they move closer to an even greater threat - and the shattering truth of their own destiny.",English,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Science Fiction, Science Fiction Fantasy, Audiobook, Steampunk, Magic",,370,RHCP Digital,1997,4.13,366084
